date,time_social_media,time_video_streaming,time_gaming,time_productivity,time_education,time_news,time_shopping,time_communication,time_other,compulsive_check_count,tab_switch_frequency,late_night_ratio,active_idle_ratio,avg_session_length_min,daily_goal,goal_alignment_score,mood_score,stress_score,sleep_quality,user_id,risk_score,risk_level
2026-05-13,122.1,69.7,21.1,75.8,74.7,22.3,18.5,41.4,23.0,14,18.3,0.094,0.66,3.3,study,0.414,2.0,5.0,4.0,user_0000,0.6058,high
2026-05-14,46.8,86.7,19.3,90.4,131.4,24.6,7.0,16.9,15.7,23,7.31,0.199,0.768,6.8,entertainment,0.408,3.0,4.0,3.0,user_0000,0.6608,high
2026-05-15,126.4,142.1,0.5,102.1,105.4,5.0,1.1,14.4,7.5,7,10.28,0.23,0.431,24.4,entertainment,0.565,1.0,4.0,2.0,user_0000,0.7668,critical
2026-05-16,54.6,40.5,8.9,79.7,94.8,18.9,14.3,23.3,6.6,24,6.22,0.217,0.48,11.2,relax,0.374,3.0,3.0,4.0,user_0000,0.5299,high
2026-05-17,67.7,128.2,34.9,82.1,57.0,22.4,1.4,24.9,13.5,26,13.62,0.466,0.796,23.6,entertainment,0.624,2.0,3.0,3.0,user_0000,0.796,critical
2026-05-18,128.8,41.6,22.3,58.2,98.1,19.1,2.1,30.6,5.1,38,26.29,0.645,0.465,20.0,work,0.448,3.0,3.0,2.0,user_0000,0.9781,critical
2026-05-19,32.3,79.4,6.2,36.6,157.3,5.9,15.3,27.9,19.3,9,18.89,0.504,0.448,19.5,study,0.622,3.0,2.0,2.0,user_0000,0.6111,high
2026-05-20,39.6,58.0,22.1,64.9,40.0,14.9,7.0,24.6,6.7,12,18.25,0.328,0.625,24.4,relax,0.533,2.0,3.0,4.0,user_0000,0.4755,moderate
2026-05-21,40.6,68.5,28.3,174.5,74.2,17.9,8.9,35.2,8.7,24,25.46,0.414,0.52,7.4,work,0.644,2.0,4.0,3.0,user_0000,0.6637,high
2026-05-22,43.3,60.3,28.7,105.9,100.4,5.6,9.6,23.4,8.4,18,15.48,0.469,0.562,10.1,work,0.609,1.0,3.0,4.0,user_0000,0.5512,high
2026-05-23,107.4,65.4,20.2,100.1,120.7,29.0,9.3,18.0,9.7,29,11.79,0.286,0.723,17.9,entertainment,0.466,2.0,2.0,3.0,user_0000,0.7455,high
2026-05-24,44.5,40.6,11.8,47.7,88.9,15.6,14.6,13.0,6.9,46,9.89,0.631,0.775,9.4,relax,0.415,3.0,4.0,2.0,user_0000,0.8698,critical
2026-05-25,107.0,17.4,14.5,120.1,67.5,21.6,2.3,41.1,23.2,14,29.3,0.417,0.444,23.7,work,0.574,1.0,5.0,3.0,user_0000,0.6373,high
2026-05-26,117.1,41.8,29.3,161.1,101.1,7.8,9.9,22.3,19.4,17,29.5,0.522,0.705,15.5,work,0.582,2.0,3.0,2.0,user_0000,0.7935,critical
2026-05-27,101.0,31.7,38.2,129.6,41.0,16.4,6.2,16.2,6.4,47,11.7,0.143,0.722,19.6,study,0.5,2.0,3.0,2.0,user_0000,0.8435,critical
2026-05-28,72.0,41.5,18.1,194.6,20.0,15.1,10.8,37.0,12.1,30,25.34,0.221,0.781,5.5,work,0.62,2.0,4.0,3.0,user_0000,0.6584,high
2026-05-29,30.1,63.4,20.2,67.1,57.1,9.8,10.6,29.9,9.0,18,20.01,0.396,0.513,20.2,study,0.522,3.0,2.0,4.0,user_0000,0.5075,high
2026-05-30,126.8,91.5,15.2,117.7,112.0,17.1,12.0,35.4,5.0,32,20.67,0.624,0.747,17.6,study,0.496,3.0,3.0,4.0,user_0000,0.8233,critical
2026-05-31,76.4,31.2,20.9,46.5,71.2,20.6,1.0,22.6,9.7,32,17.38,0.311,0.435,14.9,work,0.478,4.0,3.0,4.0,user_0000,0.6233,high
2026-06-01,87.8,74.5,4.2,148.8,87.3,28.3,17.2,25.3,20.1,38,19.5,0.411,0.618,5.4,relax,0.414,4.0,3.0,4.0,user_0000,0.7341,high
2026-06-02,38.4,23.2,13.7,157.1,115.3,27.5,14.4,22.8,12.4,18,8.63,0.349,0.638,16.1,study,0.784,1.0,4.0,3.0,user_0000,0.5125,high
2026-06-03,34.5,54.9,3.0,122.1,61.1,7.8,3.4,27.2,6.2,9,9.53,0.107,0.41,12.9,study,0.665,3.0,3.0,4.0,user_0000,0.3475,moderate
2026-06-04,25.9,42.1,12.6,47.7,129.2,6.3,14.6,19.6,20.8,12,13.31,0.095,0.609,23.5,work,0.687,3.0,5.0,3.0,user_0000,0.4478,moderate
2026-06-05,40.2,58.0,13.7,99.9,43.0,7.3,3.4,11.3,6.1,23,13.48,0.445,0.694,22.8,study,0.561,3.0,3.0,3.0,user_0000,0.6294,high
2026-06-06,83.4,85.3,40.3,171.1,27.6,14.7,6.7,33.8,23.6,19,29.3,0.435,0.479,19.3,study,0.487,3.0,4.0,3.0,user_0000,0.7585,critical
2026-06-07,94.6,155.8,23.0,75.8,39.7,20.1,14.2,23.5,14.7,42,10.29,0.363,0.469,18.6,entertainment,0.703,2.0,5.0,4.0,user_0000,0.8503,critical
2026-06-08,112.2,70.4,3.9,68.1,151.0,14.3,1.4,24.0,24.1,32,25.82,0.571,0.447,15.5,study,0.54,1.0,4.0,3.0,user_0000,0.8301,critical
2026-06-09,87.1,30.6,1.5,59.5,129.3,19.1,8.4,37.3,17.1,25,7.48,0.052,0.755,14.8,study,0.613,2.0,4.0,3.0,user_0000,0.5734,high
2026-06-10,26.8,66.1,3.1,39.1,186.8,21.0,15.2,40.5,11.9,10,3.81,0.466,0.671,12.8,study,0.702,2.0,4.0,4.0,user_0000,0.4439,moderate
2026-06-11,90.3,78.9,7.9,117.3,95.1,18.8,14.7,24.8,18.0,35,11.33,0.096,0.673,7.7,study,0.545,1.0,3.0,3.0,user_0000,0.7141,high
2026-06-12,69.0,56.3,4.0,75.7,32.5,15.5,19.0,41.6,24.0,51,28.51,0.535,0.618,20.0,work,0.456,3.0,4.0,3.0,user_0000,0.8078,critical
2026-06-13,151.9,46.3,47.9,66.8,24.6,23.6,5.5,25.1,11.9,43,18.91,0.266,0.734,19.4,work,0.271,1.0,4.0,3.0,user_0000,0.946,critical
2026-06-14,53.7,44.7,2.7,58.0,145.1,16.6,10.5,29.0,12.2,31,26.39,0.573,0.784,9.3,study,0.668,3.0,3.0,3.0,user_0000,0.6789,high
2026-06-15,130.9,44.8,11.6,181.2,16.6,10.1,15.4,26.3,24.6,12,18.62,0.41,0.753,24.5,work,0.514,2.0,4.0,3.0,user_0000,0.6808,high
2026-06-16,21.2,42.4,10.0,43.1,115.0,15.7,12.5,33.6,23.3,7,7.64,0.198,0.764,8.4,study,0.682,3.0,3.0,3.0,user_0000,0.4053,moderate
2026-06-17,108.8,53.1,29.9,121.8,67.9,16.7,13.3,42.5,21.3,11,18.46,0.059,0.671,12.1,study,0.497,3.0,5.0,2.0,user_0000,0.6921,high
2026-06-18,36.3,56.2,26.7,164.1,67.3,18.0,8.2,39.8,21.6,15,19.4,0.255,0.819,16.5,work,0.66,1.0,4.0,4.0,user_0000,0.4715,moderate
2026-06-19,78.1,48.6,9.1,152.1,171.3,29.0,12.9,16.8,23.4,8,10.98,0.393,0.482,11.4,study,0.704,3.0,2.0,3.0,user_0000,0.5252,high
2026-06-20,44.3,116.0,34.9,76.0,65.6,7.0,10.5,36.0,21.8,13,7.29,0.103,0.684,21.0,entertainment,0.58,3.0,3.0,3.0,user_0000,0.5927,high
2026-06-21,111.0,17.3,7.3,119.5,70.4,27.6,3.6,44.7,18.5,22,7.1,0.065,0.691,6.1,study,0.583,3.0,4.0,3.0,user_0000,0.5888,high
2026-06-22,43.4,30.8,32.3,168.9,30.9,8.3,2.9,14.4,12.0,46,12.46,0.363,0.812,4.7,study,0.652,3.0,4.0,4.0,user_0000,0.6421,high
2026-06-23,149.7,101.8,11.1,82.3,160.8,23.7,15.6,29.9,14.3,28,11.51,0.503,0.642,12.7,study,0.481,2.0,5.0,3.0,user_0000,0.9112,critical
2026-06-24,53.2,73.2,46.4,185.4,33.3,15.2,17.5,14.0,5.3,54,7.79,0.629,0.791,20.5,work,0.559,2.0,5.0,4.0,user_0000,0.8129,critical
2026-06-25,73.3,101.2,4.2,90.8,61.4,13.0,7.2,31.0,24.6,12,11.92,0.443,0.821,22.0,relax,0.54,3.0,3.0,3.0,user_0000,0.6457,high
2026-06-26,121.5,52.6,5.5,98.1,102.2,26.9,19.7,28.5,13.8,16,8.77,0.378,0.678,4.5,entertainment,0.473,3.0,3.0,2.0,user_0000,0.7539,critical
2026-06-27,125.2,23.0,40.0,106.4,116.2,26.7,14.2,22.7,11.0,23,18.73,0.198,0.627,11.8,work,0.542,2.0,5.0,2.0,user_0000,0.7948,critical
2026-06-28,131.9,66.3,6.4,79.0,55.2,28.0,10.7,35.8,21.6,33,4.76,0.143,0.777,23.1,work,0.396,2.0,5.0,4.0,user_0000,0.7257,high
2026-06-29,39.1,90.5,16.3,127.8,110.3,5.7,7.0,10.3,21.6,18,25.5,0.173,0.483,9.0,work,0.62,2.0,4.0,3.0,user_0000,0.581,high
2026-06-30,68.4,61.0,23.0,130.1,28.3,5.2,9.6,24.8,22.9,43,4.24,0.422,0.772,10.3,work,0.509,1.0,4.0,3.0,user_0000,0.8079,critical
2026-07-01,128.5,32.7,16.1,55.6,85.4,10.8,9.4,40.0,15.8,6,16.65,0.613,0.528,24.6,work,0.443,2.0,4.0,3.0,user_0000,0.6889,high
2026-05-03,120.4,54.6,31.5,150.0,115.3,16.2,4.2,21.1,23.2,27,12.49,0.142,0.551,12.4,entertainment,0.438,3.0,4.0,2.0,user_0001,0.8275,critical
2026-05-04,86.8,39.0,36.3,29.0,25.8,7.9,0.5,34.7,22.2,14,10.69,0.498,0.499,8.2,entertainment,0.748,4.0,4.0,3.0,user_0001,0.6469,high
2026-05-05,58.1,26.8,25.6,125.3,91.5,22.2,19.9,30.3,11.9,11,17.14,0.425,0.452,16.4,study,0.663,2.0,4.0,4.0,user_0001,0.4789,moderate
2026-05-06,118.8,69.9,3.4,232.2,18.3,24.1,1.1,33.4,7.4,27,18.71,0.2,0.605,10.3,work,0.566,2.0,4.0,3.0,user_0001,0.7194,high
2026-05-07,35.1,37.6,3.6,132.1,68.0,18.2,2.7,20.9,7.5,6,8.44,0.071,0.524,11.5,study,0.724,2.0,4.0,4.0,user_0001,0.3058,moderate
2026-05-08,35.3,27.3,10.9,202.6,141.4,26.2,18.2,20.4,12.3,15,5.24,0.038,0.534,17.9,study,0.824,3.0,3.0,3.0,user_0001,0.4015,moderate
2026-05-09,92.1,32.4,20.6,109.8,172.9,28.1,10.9,43.8,19.3,16,13.05,0.079,0.481,9.5,study,0.661,3.0,5.0,3.0,user_0001,0.5666,high
2026-05-10,100.5,21.7,22.1,125.8,69.9,21.4,17.6,23.2,22.2,20,8.74,0.278,0.579,8.6,entertainment,0.425,2.0,3.0,4.0,user_0001,0.5733,high
2026-05-11,35.1,142.0,18.9,123.9,47.5,5.5,2.4,18.4,7.8,49,8.13,0.26,0.749,3.1,entertainment,0.533,2.0,4.0,4.0,user_0001,0.7345,high
2026-05-12,36.4,48.9,24.3,62.1,62.4,22.9,5.9,36.7,6.7,19,19.03,0.327,0.622,10.8,entertainment,0.468,3.0,3.0,4.0,user_0001,0.517,high
2026-05-13,116.1,51.5,12.8,178.6,178.9,23.7,12.9,28.5,12.4,30,18.43,0.36,0.496,14.2,study,0.665,2.0,3.0,2.0,user_0001,0.8108,critical
2026-05-14,42.9,85.5,4.9,171.9,111.2,21.5,1.7,19.2,6.9,42,6.7,0.551,0.537,4.7,study,0.68,2.0,3.0,5.0,user_0001,0.6142,high
2026-05-15,61.1,55.3,12.5,156.0,137.7,24.4,9.7,15.4,8.8,7,12.31,0.354,0.53,7.2,study,0.695,1.0,4.0,3.0,user_0001,0.5257,high
2026-05-16,83.8,55.6,13.9,72.0,46.0,12.2,8.7,26.6,12.3,30,16.21,0.406,0.51,20.9,work,0.435,3.0,4.0,3.0,user_0001,0.7544,critical
2026-05-17,116.3,27.6,13.0,91.1,67.2,26.6,17.5,29.7,6.8,43,5.69,0.558,0.486,21.4,study,0.502,3.0,4.0,3.0,user_0001,0.8525,critical
2026-05-18,131.8,31.0,38.0,134.5,106.4,29.1,19.4,14.1,16.0,8,17.38,0.464,0.641,12.8,entertainment,0.455,2.0,3.0,3.0,user_0001,0.6895,high
2026-05-19,95.8,49.5,14.3,119.0,71.1,28.2,1.3,40.3,5.3,37,8.28,0.439,0.66,20.0,study,0.543,2.0,4.0,2.0,user_0001,0.8746,critical
2026-05-20,29.6,47.6,29.5,32.7,143.1,26.2,9.3,34.4,18.2,20,16.23,0.559,0.768,9.5,study,0.622,1.0,3.0,3.0,user_0001,0.6242,high
2026-05-21,81.1,21.2,1.0,95.0,134.6,14.5,5.5,21.9,20.6,10,4.79,0.187,0.645,5.9,study,0.69,4.0,3.0,4.0,user_0001,0.3909,moderate
2026-05-22,19.1,27.1,19.1,89.6,108.1,24.1,15.9,16.0,24.3,13,11.33,0.609,0.537,13.3,relax,0.248,2.0,5.0,4.0,user_0001,0.5434,high
2026-05-23,15.7,56.1,11.1,175.5,139.7,16.8,9.1,20.9,5.5,14,2.19,0.352,0.415,3.4,relax,0.208,3.0,2.0,3.0,user_0001,0.5523,high
2026-05-24,65.6,119.9,3.5,145.4,122.4,23.4,19.4,42.4,15.5,19,2.55,0.392,0.767,17.9,entertainment,0.414,3.0,3.0,3.0,user_0001,0.7069,high
2026-05-25,30.8,43.5,10.4,38.2,26.9,14.3,1.4,28.3,7.3,8,21.71,0.332,0.429,21.5,study,0.435,1.0,2.0,3.0,user_0001,0.4816,moderate
2026-05-26,66.3,16.5,1.2,182.1,174.5,10.4,12.4,44.7,23.8,31,6.18,0.274,0.51,8.2,study,0.809,3.0,4.0,4.0,user_0001,0.5104,high
2026-05-27,137.8,83.6,29.7,123.2,161.7,26.5,11.9,34.9,21.9,18,27.31,0.347,0.729,14.7,study,0.532,2.0,3.0,3.0,user_0001,0.7713,critical
2026-05-28,53.5,32.2,1.5,105.7,115.2,27.7,8.7,18.7,21.0,10,15.44,0.123,0.751,9.8,study,0.717,3.0,3.0,3.0,user_0001,0.4224,moderate
2026-05-29,25.8,72.1,5.8,72.3,145.1,8.6,4.4,30.4,15.2,20,5.29,0.357,0.617,8.7,study,0.677,1.0,2.0,3.0,user_0001,0.5453,high
2026-05-30,42.7,58.6,29.7,57.1,171.4,23.1,19.5,43.7,9.4,37,2.69,0.238,0.502,12.2,study,0.636,2.0,3.0,4.0,user_0001,0.6126,high
2026-05-31,91.0,16.1,8.7,103.0,89.4,22.2,0.9,36.2,7.4,35,4.48,0.096,0.823,7.6,study,0.624,2.0,4.0,4.0,user_0001,0.5686,high
2026-06-01,37.0,19.3,15.6,210.7,45.7,6.8,8.9,24.6,7.5,10,12.88,0.388,0.684,19.2,study,0.781,4.0,4.0,3.0,user_0001,0.4681,moderate
2026-06-02,100.8,78.4,24.4,105.4,116.8,9.2,15.7,40.2,13.4,39,24.93,0.505,0.423,6.3,work,0.522,4.0,4.0,3.0,user_0001,0.8862,critical
2026-06-03,120.7,25.5,3.2,125.2,89.4,18.9,4.2,38.7,13.1,28,2.84,0.626,0.617,16.7,study,0.59,1.0,4.0,2.0,user_0001,0.8434,critical
2026-06-04,75.3,23.9,15.9,184.3,118.7,7.1,15.7,14.5,5.8,23,15.2,0.325,0.838,5.9,work,0.725,2.0,3.0,3.0,user_0001,0.5905,high
2026-06-05,64.0,48.0,6.8,172.1,156.0,27.8,7.1,43.8,11.5,19,4.87,0.129,0.725,4.1,study,0.734,3.0,4.0,3.0,user_0001,0.5311,high
2026-06-06,125.4,85.2,35.8,182.1,129.4,20.8,8.6,16.6,19.9,23,19.01,0.156,0.473,4.0,study,0.558,2.0,3.0,3.0,user_0001,0.7494,high
2026-06-07,134.9,63.2,19.0,137.4,82.8,29.4,0.2,33.1,23.1,41,19.24,0.522,0.72,13.5,entertainment,0.496,3.0,4.0,4.0,user_0001,0.847,critical
2026-06-08,66.4,151.8,52.0,55.7,25.0,29.1,1.8,31.1,7.1,39,17.85,0.334,0.786,15.2,entertainment,0.77,3.0,5.0,4.0,user_0001,0.8273,critical
2026-06-09,40.1,63.8,31.8,117.2,118.2,9.4,7.4,38.7,10.5,39,25.24,0.511,0.496,10.3,entertainment,0.366,2.0,3.0,4.0,user_0001,0.7326,high
2026-06-10,35.7,48.8,7.5,169.9,112.1,20.6,3.1,40.6,10.8,33,16.16,0.207,0.62,4.8,study,0.754,4.0,4.0,2.0,user_0001,0.6705,high
2026-06-11,138.0,61.9,7.9,36.5,21.1,27.9,0.7,39.1,18.7,40,6.61,0.234,0.821,8.6,entertainment,0.783,3.0,3.0,3.0,user_0001,0.7876,critical
2026-06-12,90.7,35.1,1.5,108.6,124.6,7.8,1.1,42.1,6.1,28,17.8,0.423,0.831,9.3,entertainment,0.353,2.0,2.0,4.0,user_0001,0.6249,high
2026-06-13,83.0,42.2,7.0,55.9,118.1,13.8,14.7,16.1,7.6,5,21.67,0.406,0.709,21.9,work,0.568,3.0,4.0,3.0,user_0001,0.551,high
2026-06-14,25.5,58.5,19.8,155.1,165.8,28.2,18.5,34.7,14.2,31,20.16,0.527,0.534,9.8,study,0.756,3.0,5.0,3.0,user_0001,0.6829,high
2026-06-15,25.7,46.2,14.3,203.4,172.9,8.3,19.8,33.6,12.1,17,15.57,0.076,0.737,4.5,study,0.814,3.0,3.0,3.0,user_0001,0.4378,moderate
2026-06-16,75.8,72.7,30.1,135.7,80.3,19.6,8.8,27.4,21.2,20,22.02,0.33,0.737,9.7,study,0.547,2.0,4.0,2.0,user_0001,0.7663,critical
2026-06-17,97.0,18.1,21.1,124.4,167.6,8.3,19.9,10.8,17.6,21,15.02,0.14,0.848,8.6,study,0.682,2.0,5.0,4.0,user_0001,0.5244,high
2026-06-18,72.3,49.4,7.6,155.4,121.3,29.3,5.5,23.2,19.5,22,10.51,0.41,0.85,10.9,study,0.681,2.0,2.0,3.0,user_0001,0.6105,high
2026-06-19,33.7,61.2,10.0,79.2,98.6,23.3,1.9,27.1,8.0,27,13.71,0.302,0.412,15.3,entertainment,0.371,3.0,5.0,3.0,user_0001,0.6648,high
2026-06-20,76.0,38.5,18.4,74.4,24.5,22.1,6.9,23.6,23.1,49,26.57,0.248,0.639,21.5,entertainment,0.573,1.0,5.0,2.0,user_0001,0.8241,critical
2026-06-21,138.1,161.4,4.3,85.1,78.7,11.8,13.5,36.7,17.3,34,17.6,0.175,0.792,23.2,entertainment,0.65,2.0,5.0,3.0,user_0001,0.8925,critical
2026-06-22,147.3,44.3,3.0,171.9,96.4,8.2,16.8,15.5,9.2,14,18.4,0.55,0.775,8.7,work,0.58,2.0,4.0,4.0,user_0001,0.6492,high
2026-06-23,25.4,25.2,21.3,121.6,56.6,23.8,9.3,44.7,23.5,43,12.24,0.119,0.764,21.4,work,0.712,3.0,2.0,3.0,user_0001,0.5797,high
2026-06-24,67.2,64.0,11.2,40.6,21.1,8.0,18.7,37.3,8.3,9,20.81,0.083,0.685,8.7,entertainment,0.698,3.0,2.0,3.0,user_0001,0.4685,moderate
2026-06-25,83.4,54.4,17.9,185.0,184.0,17.5,12.3,26.9,13.4,22,6.45,0.504,0.591,6.9,study,0.703,2.0,4.0,3.0,user_0001,0.6903,high
2026-06-26,53.2,75.5,17.0,124.9,124.4,19.4,15.6,19.9,18.6,32,23.05,0.644,0.501,9.7,study,0.631,2.0,4.0,2.0,user_0001,0.8511,critical
2026-06-27,42.7,48.0,1.5,189.8,55.1,17.1,1.6,34.8,12.4,33,17.35,0.462,0.764,20.0,work,0.726,3.0,2.0,3.0,user_0001,0.6319,high
2026-06-28,52.4,102.5,5.8,147.2,40.2,17.5,6.6,43.1,7.8,6,26.91,0.181,0.539,17.8,entertainment,0.462,2.0,3.0,4.0,user_0001,0.4607,moderate
2026-06-29,89.7,71.1,1.3,46.7,156.9,20.5,7.5,15.4,18.0,9,4.2,0.264,0.466,18.1,study,0.557,1.0,3.0,3.0,user_0001,0.5676,high
2026-06-30,77.1,111.0,15.9,116.0,110.6,22.6,14.1,38.8,23.4,21,19.65,0.327,0.575,4.0,entertainment,0.474,3.0,3.0,4.0,user_0001,0.6453,high
2026-07-01,59.3,81.8,31.5,146.6,25.4,17.2,8.7,40.6,8.9,14,8.08,0.605,0.657,9.0,study,0.499,3.0,4.0,3.0,user_0001,0.7125,high
2026-05-03,103.1,69.0,15.1,142.9,86.1,16.1,19.2,44.0,21.8,22,17.53,0.097,0.441,4.7,study,0.55,2.0,3.0,3.0,user_0002,0.6496,high
2026-05-04,89.6,68.6,16.5,144.3,119.6,21.4,18.2,12.4,16.6,5,6.84,0.302,0.411,10.7,study,0.602,3.0,3.0,3.0,user_0002,0.5644,high
2026-05-05,110.0,89.2,9.0,141.8,128.3,20.4,1.0,25.7,16.1,27,19.4,0.601,0.401,17.3,study,0.565,2.0,5.0,3.0,user_0002,0.8409,critical
2026-05-06,65.8,19.2,42.9,40.1,45.9,18.6,5.9,17.4,18.9,28,17.26,0.206,0.593,14.5,study,0.402,2.0,3.0,3.0,user_0002,0.6656,high
2026-05-07,35.1,56.3,1.4,141.7,67.3,22.5,6.9,29.2,23.4,13,22.29,0.129,0.418,21.7,relax,0.307,4.0,4.0,3.0,user_0002,0.5187,high
2026-05-08,107.5,49.2,0.2,69.4,81.0,20.5,19.3,40.4,22.2,4,11.26,0.308,0.82,21.7,entertainment,0.511,1.0,3.0,4.0,user_0002,0.4759,moderate
2026-05-09,53.7,44.9,19.2,198.9,91.6,19.9,1.7,35.9,8.5,5,2.37,0.298,0.719,17.9,work,0.712,3.0,3.0,3.0,user_0002,0.4732,moderate
2026-05-10,29.7,35.3,1.6,175.6,96.7,5.1,14.8,21.6,18.0,6,3.65,0.236,0.752,4.6,relax,0.197,1.0,4.0,3.0,user_0002,0.4837,moderate
2026-05-11,50.0,36.1,27.1,50.2,105.3,29.4,3.0,27.3,14.0,39,24.77,0.611,0.511,6.6,work,0.579,1.0,3.0,2.0,user_0002,0.8476,critical
2026-05-12,104.7,59.1,27.3,46.4,33.0,7.0,10.4,14.9,15.5,10,25.3,0.438,0.512,8.6,entertainment,0.706,2.0,3.0,3.0,user_0002,0.6371,high
2026-05-13,39.7,63.3,10.6,132.8,61.1,20.4,4.5,27.4,24.0,39,19.02,0.384,0.694,15.1,relax,0.369,1.0,3.0,4.0,user_0002,0.6703,high
2026-05-14,64.7,39.4,16.6,124.6,36.0,22.5,2.8,13.3,15.0,31,6.68,0.155,0.428,8.0,work,0.571,3.0,2.0,4.0,user_0002,0.5422,high
2026-05-15,129.6,87.7,27.2,36.8,64.2,21.4,3.1,37.7,6.7,42,16.07,0.079,0.472,9.9,study,0.292,2.0,3.0,2.0,user_0002,0.949,critical
2026-05-16,65.4,75.4,33.6,150.0,152.1,27.4,7.2,41.1,18.4,16,23.87,0.446,0.429,23.2,study,0.634,3.0,4.0,2.0,user_0002,0.7482,high
2026-05-17,137.0,141.1,46.0,124.1,93.7,10.1,11.2,20.0,24.5,10,2.54,0.403,0.623,6.8,entertainment,0.598,2.0,4.0,3.0,user_0002,0.8272,critical
2026-05-18,84.2,83.7,8.9,41.3,81.6,14.5,2.3,18.3,24.3,10,17.59,0.283,0.729,4.5,entertainment,0.59,1.0,4.0,3.0,user_0002,0.6042,high
2026-05-19,63.7,83.2,7.1,68.2,54.2,22.9,1.5,39.5,10.4,26,5.79,0.545,0.768,19.6,relax,0.557,3.0,3.0,3.0,user_0002,0.7236,high
2026-05-20,79.8,46.8,13.2,249.7,56.9,7.9,3.3,38.6,14.3,17,12.73,0.431,0.604,13.0,work,0.687,2.0,4.0,4.0,user_0002,0.549,high
2026-05-21,19.2,47.9,7.5,156.5,80.8,16.2,16.5,40.5,13.3,28,9.57,0.452,0.705,15.1,study,0.761,2.0,3.0,3.0,user_0002,0.5817,high
2026-05-22,22.3,20.4,9.7,111.5,42.0,19.1,0.9,38.9,20.7,12,17.26,0.187,0.451,8.3,work,0.746,2.0,4.0,2.0,user_0002,0.4874,moderate
2026-05-23,106.8,49.5,13.5,101.0,67.3,11.1,11.2,41.6,24.0,20,8.78,0.378,0.825,10.8,work,0.498,2.0,4.0,3.0,user_0002,0.7006,high
2026-05-24,34.8,31.1,16.5,67.0,53.8,26.8,19.1,17.7,22.1,7,15.53,0.363,0.679,18.7,relax,0.406,3.0,2.0,4.0,user_0002,0.4121,moderate
2026-05-25,67.2,23.9,21.0,81.7,132.9,22.6,12.2,30.6,11.7,32,25.92,0.539,0.621,11.5,study,0.657,2.0,3.0,2.0,user_0002,0.7765,critical
2026-05-26,113.8,79.7,17.5,141.6,112.1,6.0,10.8,44.4,12.5,46,18.9,0.642,0.703,5.8,entertainment,0.454,2.0,4.0,2.0,user_0002,1.0,critical
2026-05-27,140.1,95.1,40.3,67.6,52.6,21.4,16.1,31.9,19.6,40,19.55,0.359,0.434,5.3,entertainment,0.696,2.0,4.0,2.0,user_0002,1.0,critical
2026-05-28,70.2,99.6,64.2,125.6,38.9,15.7,4.0,19.7,17.8,58,13.95,0.758,0.773,12.2,entertainment,0.587,3.0,4.0,3.0,user_0002,0.9818,critical
2026-05-29,79.1,110.5,4.4,55.8,67.0,10.2,15.6,24.6,16.8,14,15.71,0.539,0.6,23.4,relax,0.612,3.0,4.0,2.0,user_0002,0.7758,critical
2026-05-30,134.2,104.3,1.5,58.5,72.0,27.0,9.4,24.5,8.5,48,16.86,0.509,0.719,5.4,study,0.352,2.0,4.0,2.0,user_0002,1.0,critical
